id,name,latitude,longitude,description
1100000,wrf_5.722969_79.521461,5.722969,79.521461,"WRF point"
1100001,wrf_5.722969_79.548691,5.722969,79.548691,"WRF point"
1100002,wrf_5.722969_79.575920,5.722969,79.575920,"WRF point"
1100003,wrf_5.722969_79.603149,5.722969,79.603149,"WRF point"
1100004,wrf_5.722969_79.630379,5.722969,79.630379,"WRF point"
1100005,wrf_5.722969_79.657608,5.722969,79.657608,"WRF point"
1100006,wrf_5.722969_79.684837,5.722969,79.684837,"WRF point"
1100007,wrf_5.722969_79.712067,5.722969,79.712067,"WRF point"
1100008,wrf_5.722969_79.739296,5.722969,79.739296,"WRF point"
1100009,wrf_5.722969_79.766525,5.722969,79.766525,"WRF point"
1100010,wrf_5.722969_79.793747,5.722969,79.793747,"WRF point"
1100011,wrf_5.722969_79.820976,5.722969,79.820976,"WRF point"
1100012,wrf_5.722969_79.848206,5.722969,79.848206,"WRF point"
1100013,wrf_5.722969_79.875435,5.722969,79.875435,"WRF point"
1100014,wrf_5.722969_79.902664,5.722969,79.902664,"WRF point"
1100015,wrf_5.722969_79.929893,5.722969,79.929893,"WRF point"
1100016,wrf_5.722969_79.957123,5.722969,79.957123,"WRF point"
1100017,wrf_5.722969_79.984352,5.722969,79.984352,"WRF point"
1100018,wrf_5.722969_80.011581,5.722969,80.011581,"WRF point"
1100019,wrf_5.722969_80.038811,5.722969,80.038811,"WRF point"
1100020,wrf_5.722969_80.066040,5.722969,80.066040,"WRF point"
1100021,wrf_5.722969_80.093269,5.722969,80.093269,"WRF point"
1100022,wrf_5.722969_80.120499,5.722969,80.120499,"WRF point"
1100023,wrf_5.722969_80.147728,5.722969,80.147728,"WRF point"
1100024,wrf_5.722969_80.174957,5.722969,80.174957,"WRF point"
1100025,wrf_5.722969_80.202187,5.722969,80.202187,"WRF point"
1100026,wrf_5.722969_80.229416,5.722969,80.229416,"WRF point"
1100027,wrf_5.722969_80.256645,5.722969,80.256645,"WRF point"
1100028,wrf_5.722969_80.283875,5.722969,80.283875,"WRF point"
1100029,wrf_5.722969_80.311104,5.722969,80.311104,"WRF point"
1100030,wrf_5.722969_80.338333,5.722969,80.338333,"WRF point"
1100031,wrf_5.722969_80.365562,5.722969,80.365562,"WRF point"
1100032,wrf_5.722969_80.392792,5.722969,80.392792,"WRF point"
1100033,wrf_5.722969_80.420021,5.722969,80.420021,"WRF point"
1100034,wrf_5.722969_80.447250,5.722969,80.447250,"WRF point"
1100035,wrf_5.722969_80.474480,5.722969,80.474480,"WRF point"
1100036,wrf_5.722969_80.501709,5.722969,80.501709,"WRF point"
1100037,wrf_5.722969_80.528938,5.722969,80.528938,"WRF point"
1100038,wrf_5.722969_80.556168,5.722969,80.556168,"WRF point"
1100039,wrf_5.722969_80.583397,5.722969,80.583397,"WRF point"
1100040,wrf_5.722969_80.610626,5.722969,80.610626,"WRF point"
1100041,wrf_5.722969_80.637856,5.722969,80.637856,"WRF point"
1100042,wrf_5.722969_80.665085,5.722969,80.665085,"WRF point"
1100043,wrf_5.722969_80.692314,5.722969,80.692314,"WRF point"
1100044,wrf_5.722969_80.719543,5.722969,80.719543,"WRF point"
1100045,wrf_5.722969_80.746773,5.722969,80.746773,"WRF point"
1100046,wrf_5.722969_80.774002,5.722969,80.774002,"WRF point"
1100047,wrf_5.722969_80.801231,5.722969,80.801231,"WRF point"
1100048,wrf_5.722969_80.828461,5.722969,80.828461,"WRF point"
1100049,wrf_5.722969_80.855690,5.722969,80.855690,"WRF point"
1100050,wrf_5.722969_80.882919,5.722969,80.882919,"WRF point"
1100051,wrf_5.722969_80.910149,5.722969,80.910149,"WRF point"
1100052,wrf_5.722969_80.937378,5.722969,80.937378,"WRF point"
1100053,wrf_5.722969_80.964607,5.722969,80.964607,"WRF point"
1100054,wrf_5.722969_80.991837,5.722969,80.991837,"WRF point"
1100055,wrf_5.722969_81.019066,5.722969,81.019066,"WRF point"
1100056,wrf_5.722969_81.046295,5.722969,81.046295,"WRF point"
1100057,wrf_5.722969_81.073524,5.722969,81.073524,"WRF point"
1100058,wrf_5.722969_81.100754,5.722969,81.100754,"WRF point"
1100059,wrf_5.722969_81.127983,5.722969,81.127983,"WRF point"
1100060,wrf_5.722969_81.155212,5.722969,81.155212,"WRF point"
1100061,wrf_5.722969_81.182442,5.722969,81.182442,"WRF point"
1100062,wrf_5.722969_81.209671,5.722969,81.209671,"WRF point"
1100063,wrf_5.722969_81.236900,5.722969,81.236900,"WRF point"
1100064,wrf_5.722969_81.264130,5.722969,81.264130,"WRF point"
1100065,wrf_5.722969_81.291359,5.722969,81.291359,"WRF point"
1100066,wrf_5.722969_81.318588,5.722969,81.318588,"WRF point"
1100067,wrf_5.722969_81.345818,5.722969,81.345818,"WRF point"
1100068,wrf_5.722969_81.373047,5.722969,81.373047,"WRF point"
1100069,wrf_5.722969_81.400276,5.722969,81.400276,"WRF point"
1100070,wrf_5.722969_81.427505,5.722969,81.427505,"WRF point"
1100071,wrf_5.722969_81.454735,5.722969,81.454735,"WRF point"
1100072,wrf_5.722969_81.481964,5.722969,81.481964,"WRF point"
1100073,wrf_5.722969_81.509193,5.722969,81.509193,"WRF point"
1100074,wrf_5.722969_81.536423,5.722969,81.536423,"WRF point"
1100075,wrf_5.722969_81.563652,5.722969,81.563652,"WRF point"
1100076,wrf_5.722969_81.590881,5.722969,81.590881,"WRF point"
1100077,wrf_5.722969_81.618111,5.722969,81.618111,"WRF point"
1100078,wrf_5.722969_81.645340,5.722969,81.645340,"WRF point"
1100079,wrf_5.722969_81.672569,5.722969,81.672569,"WRF point"
1100080,wrf_5.722969_81.699799,5.722969,81.699799,"WRF point"
1100081,wrf_5.722969_81.727028,5.722969,81.727028,"WRF point"
1100082,wrf_5.722969_81.754257,5.722969,81.754257,"WRF point"
1100083,wrf_5.722969_81.781487,5.722969,81.781487,"WRF point"
1100084,wrf_5.722969_81.808716,5.722969,81.808716,"WRF point"
1100085,wrf_5.722969_81.835945,5.722969,81.835945,"WRF point"
1100086,wrf_5.722969_81.863174,5.722969,81.863174,"WRF point"
1100087,wrf_5.722969_81.890404,5.722969,81.890404,"WRF point"
1100088,wrf_5.722969_81.917633,5.722969,81.917633,"WRF point"
1100089,wrf_5.722969_81.944855,5.722969,81.944855,"WRF point"
1100090,wrf_5.722969_81.972084,5.722969,81.972084,"WRF point"
1100091,wrf_5.722969_81.999313,5.722969,81.999313,"WRF point"
1100092,wrf_5.722969_82.026543,5.722969,82.026543,"WRF point"
1100093,wrf_5.722969_82.053772,5.722969,82.053772,"WRF point"
1100094,wrf_5.722969_82.081001,5.722969,82.081001,"WRF point"
1100095,wrf_5.722969_82.108231,5.722969,82.108231,"WRF point"
1100096,wrf_5.722969_82.135460,5.722969,82.135460,"WRF point"
1100097,wrf_5.722969_82.162689,5.722969,82.162689,"WRF point"
1100098,wrf_5.722969_82.189919,5.722969,82.189919,"WRF point"
1100099,wrf_5.750061_79.521461,5.750061,79.521461,"WRF point"
1100100,wrf_5.750061_79.548691,5.750061,79.548691,"WRF point"
1100101,wrf_5.750061_79.575920,5.750061,79.575920,"WRF point"
1100102,wrf_5.750061_79.603149,5.750061,79.603149,"WRF point"
1100103,wrf_5.750061_79.630379,5.750061,79.630379,"WRF point"
1100104,wrf_5.750061_79.657608,5.750061,79.657608,"WRF point"
1100105,wrf_5.750061_79.684837,5.750061,79.684837,"WRF point"
1100106,wrf_5.750061_79.712067,5.750061,79.712067,"WRF point"
1100107,wrf_5.750061_79.739296,5.750061,79.739296,"WRF point"
1100108,wrf_5.750061_79.766525,5.750061,79.766525,"WRF point"
1100109,wrf_5.750061_79.793747,5.750061,79.793747,"WRF point"
1100110,wrf_5.750061_79.820976,5.750061,79.820976,"WRF point"
1100111,wrf_5.750061_79.848206,5.750061,79.848206,"WRF point"
1100112,wrf_5.750061_79.875435,5.750061,79.875435,"WRF point"
1100113,wrf_5.750061_79.902664,5.750061,79.902664,"WRF point"
1100114,wrf_5.750061_79.929893,5.750061,79.929893,"WRF point"
1100115,wrf_5.750061_79.957123,5.750061,79.957123,"WRF point"
1100116,wrf_5.750061_79.984352,5.750061,79.984352,"WRF point"
1100117,wrf_5.750061_80.011581,5.750061,80.011581,"WRF point"
1100118,wrf_5.750061_80.038811,5.750061,80.038811,"WRF point"
1100119,wrf_5.750061_80.066040,5.750061,80.066040,"WRF point"
1100120,wrf_5.750061_80.093269,5.750061,80.093269,"WRF point"
1100121,wrf_5.750061_80.120499,5.750061,80.120499,"WRF point"
1100122,wrf_5.750061_80.147728,5.750061,80.147728,"WRF point"
1100123,wrf_5.750061_80.174957,5.750061,80.174957,"WRF point"
1100124,wrf_5.750061_80.202187,5.750061,80.202187,"WRF point"
1100125,wrf_5.750061_80.229416,5.750061,80.229416,"WRF point"
1100126,wrf_5.750061_80.256645,5.750061,80.256645,"WRF point"
1100127,wrf_5.750061_80.283875,5.750061,80.283875,"WRF point"
1100128,wrf_5.750061_80.311104,5.750061,80.311104,"WRF point"
1100129,wrf_5.750061_80.338333,5.750061,80.338333,"WRF point"
1100130,wrf_5.750061_80.365562,5.750061,80.365562,"WRF point"
1100131,wrf_5.750061_80.392792,5.750061,80.392792,"WRF point"
1100132,wrf_5.750061_80.420021,5.750061,80.420021,"WRF point"
1100133,wrf_5.750061_80.447250,5.750061,80.447250,"WRF point"
1100134,wrf_5.750061_80.474480,5.750061,80.474480,"WRF point"
1100135,wrf_5.750061_80.501709,5.750061,80.501709,"WRF point"
1100136,wrf_5.750061_80.528938,5.750061,80.528938,"WRF point"
1100137,wrf_5.750061_80.556168,5.750061,80.556168,"WRF point"
1100138,wrf_5.750061_80.583397,5.750061,80.583397,"WRF point"
1100139,wrf_5.750061_80.610626,5.750061,80.610626,"WRF point"
1100140,wrf_5.750061_80.637856,5.750061,80.637856,"WRF point"
1100141,wrf_5.750061_80.665085,5.750061,80.665085,"WRF point"
1100142,wrf_5.750061_80.692314,5.750061,80.692314,"WRF point"
1100143,wrf_5.750061_80.719543,5.750061,80.719543,"WRF point"
1100144,wrf_5.750061_80.746773,5.750061,80.746773,"WRF point"
1100145,wrf_5.750061_80.774002,5.750061,80.774002,"WRF point"
1100146,wrf_5.750061_80.801231,5.750061,80.801231,"WRF point"
1100147,wrf_5.750061_80.828461,5.750061,80.828461,"WRF point"
1100148,wrf_5.750061_80.855690,5.750061,80.855690,"WRF point"
1100149,wrf_5.750061_80.882919,5.750061,80.882919,"WRF point"
1100150,wrf_5.750061_80.910149,5.750061,80.910149,"WRF point"
1100151,wrf_5.750061_80.937378,5.750061,80.937378,"WRF point"
1100152,wrf_5.750061_80.964607,5.750061,80.964607,"WRF point"
1100153,wrf_5.750061_80.991837,5.750061,80.991837,"WRF point"
1100154,wrf_5.750061_81.019066,5.750061,81.019066,"WRF point"
1100155,wrf_5.750061_81.046295,5.750061,81.046295,"WRF point"
1100156,wrf_5.750061_81.073524,5.750061,81.073524,"WRF point"
1100157,wrf_5.750061_81.100754,5.750061,81.100754,"WRF point"
1100158,wrf_5.750061_81.127983,5.750061,81.127983,"WRF point"
1100159,wrf_5.750061_81.155212,5.750061,81.155212,"WRF point"
1100160,wrf_5.750061_81.182442,5.750061,81.182442,"WRF point"
1100161,wrf_5.750061_81.209671,5.750061,81.209671,"WRF point"
1100162,wrf_5.750061_81.236900,5.750061,81.236900,"WRF point"
1100163,wrf_5.750061_81.264130,5.750061,81.264130,"WRF point"
1100164,wrf_5.750061_81.291359,5.750061,81.291359,"WRF point"
1100165,wrf_5.750061_81.318588,5.750061,81.318588,"WRF point"
1100166,wrf_5.750061_81.345818,5.750061,81.345818,"WRF point"
1100167,wrf_5.750061_81.373047,5.750061,81.373047,"WRF point"
1100168,wrf_5.750061_81.400276,5.750061,81.400276,"WRF point"
1100169,wrf_5.750061_81.427505,5.750061,81.427505,"WRF point"
1100170,wrf_5.750061_81.454735,5.750061,81.454735,"WRF point"
1100171,wrf_5.750061_81.481964,5.750061,81.481964,"WRF point"
1100172,wrf_5.750061_81.509193,5.750061,81.509193,"WRF point"
1100173,wrf_5.750061_81.536423,5.750061,81.536423,"WRF point"
1100174,wrf_5.750061_81.563652,5.750061,81.563652,"WRF point"
1100175,wrf_5.750061_81.590881,5.750061,81.590881,"WRF point"
1100176,wrf_5.750061_81.618111,5.750061,81.618111,"WRF point"
1100177,wrf_5.750061_81.645340,5.750061,81.645340,"WRF point"
1100178,wrf_5.750061_81.672569,5.750061,81.672569,"WRF point"
1100179,wrf_5.750061_81.699799,5.750061,81.699799,"WRF point"
1100180,wrf_5.750061_81.727028,5.750061,81.727028,"WRF point"
1100181,wrf_5.750061_81.754257,5.750061,81.754257,"WRF point"
1100182,wrf_5.750061_81.781487,5.750061,81.781487,"WRF point"
1100183,wrf_5.750061_81.808716,5.750061,81.808716,"WRF point"
1100184,wrf_5.750061_81.835945,5.750061,81.835945,"WRF point"
1100185,wrf_5.750061_81.863174,5.750061,81.863174,"WRF point"
1100186,wrf_5.750061_81.890404,5.750061,81.890404,"WRF point"
1100187,wrf_5.750061_81.917633,5.750061,81.917633,"WRF point"
1100188,wrf_5.750061_81.944855,5.750061,81.944855,"WRF point"
1100189,wrf_5.750061_81.972084,5.750061,81.972084,"WRF point"
1100190,wrf_5.750061_81.999313,5.750061,81.999313,"WRF point"
1100191,wrf_5.750061_82.026543,5.750061,82.026543,"WRF point"
1100192,wrf_5.750061_82.053772,5.750061,82.053772,"WRF point"
1100193,wrf_5.750061_82.081001,5.750061,82.081001,"WRF point"
1100194,wrf_5.750061_82.108231,5.750061,82.108231,"WRF point"
1100195,wrf_5.750061_82.135460,5.750061,82.135460,"WRF point"
1100196,wrf_5.750061_82.162689,5.750061,82.162689,"WRF point"
1100197,wrf_5.750061_82.189919,5.750061,82.189919,"WRF point"
1100198,wrf_5.777153_79.521461,5.777153,79.521461,"WRF point"
1100199,wrf_5.777153_79.548691,5.777153,79.548691,"WRF point"
1100200,wrf_5.777153_79.575920,5.777153,79.575920,"WRF point"
1100201,wrf_5.777153_79.603149,5.777153,79.603149,"WRF point"
1100202,wrf_5.777153_79.630379,5.777153,79.630379,"WRF point"
1100203,wrf_5.777153_79.657608,5.777153,79.657608,"WRF point"
1100204,wrf_5.777153_79.684837,5.777153,79.684837,"WRF point"
1100205,wrf_5.777153_79.712067,5.777153,79.712067,"WRF point"
1100206,wrf_5.777153_79.739296,5.777153,79.739296,"WRF point"
1100207,wrf_5.777153_79.766525,5.777153,79.766525,"WRF point"
1100208,wrf_5.777153_79.793747,5.777153,79.793747,"WRF point"
1100209,wrf_5.777153_79.820976,5.777153,79.820976,"WRF point"
1100210,wrf_5.777153_79.848206,5.777153,79.848206,"WRF point"
1100211,wrf_5.777153_79.875435,5.777153,79.875435,"WRF point"
1100212,wrf_5.777153_79.902664,5.777153,79.902664,"WRF point"
1100213,wrf_5.777153_79.929893,5.777153,79.929893,"WRF point"
